event_name	diff	MostExtremeBF
gene:ENSG00000183569	-0.07,0.10,0.05,-0.07,0.02,-0.03,0.00	0.68
gene:ENSG00000241878	-0.03,-0.16,0.02,0.01,0.13,-0.03,0.02,0.01,0.03,0.00	0.68
gene:ENSG00000198832	-0.06,0.22,-0.16	0.68
gene:ENSG00000099992	-0.15,0.04,0.14,0.04,-0.05,-0.03	0.67
gene:ENSG00000183762	0.00,-0.01,0.13,-0.13	0.67
gene:ENSG00000100299	-0.00,0.12,0.12,-0.06,-0.03,-0.15	0.66
gene:ENSG00000186976	0.00,-0.11,0.11	0.66
gene:ENSG00000100227	0.04,-0.13,0.11,0.07,-0.05,-0.02,-0.02	0.65
gene:ENSG00000099949	0.02,-0.07,-0.17,0.00,0.05,-0.03,0.01,0.07,0.05,0.02,0.02,0.03	0.65
gene:ENSG00000100350	0.13,0.05,-0.16,-0.01	0.64
gene:ENSG00000070010	0.13,-0.16,0.07,-0.01,-0.01,-0.03	0.64
gene:ENSG00000099917	0.01,0.01,0.01,0.02,0.00,-0.02,-0.09,0.01,0.02,0.01,-0.00,-0.00,0.01,-0.01,0.01,-0.00,0.01,0.01	0.64
gene:ENSG00000177663	-0.11	0.63
gene:ENSG00000100281	-0.01,-0.14,0.06,0.09	0.63
gene:ENSG00000185252	0.04,0.14,-0.05,-0.06,-0.01,-0.06,-0.01	0.63
gene:ENSG00000100023	-0.08,-0.02,0.07,0.02,0.11,-0.10	0.63
gene:ENSG00000182858	0.01,-0.13,0.12	0.62
gene:ENSG00000100376	-0.02,0.15,-0.03,-0.09,0.01,-0.01	0.62
gene:ENSG00000185386	0.14,0.04,-0.18	0.62
gene:ENSG00000128335	-0.10,0.09,-0.06,0.03,0.03	0.61
gene:ENSG00000196576	0.02,-0.13,0.07,0.01,-0.01,0.01,0.02,0.01,0.01	0.61
gene:ENSG00000025770	0.13,-0.04,-0.08,-0.08,-0.02,-0.01,0.09,0.01	0.6
gene:ENSG00000100105	0.07,-0.11,0.13,-0.09	0.6
gene:ENSG00000100379	-0.03,-0.00,0.09,-0.10,0.04,0.01	0.59
gene:ENSG00000235568	-0.07	0.59
gene:ENSG00000133422	0.13,-0.02,0.01,-0.12	0.59
gene:ENSG00000100031	-0.11,0.02,-0.01,0.04,-0.00,0.01,0.00,-0.00,-0.02,0.06,-0.04,0.03,0.04,0.00,-0.03,-0.00,0.01,0.02,0.01,-0.02,-0.01,0.00,0.00	0.58
gene:ENSG00000182944	0.01,0.00,0.01,0.01,0.01,0.00,0.11,-0.07,0.01,-0.04,-0.00,-0.03,-0.04,0.02,-0.00	0.58
gene:ENSG00000248751	0.03,-0.00,0.06,-0.03,-0.06	0.58
gene:ENSG00000099999	-0.02,-0.01,0.02,-0.02,0.02,-0.11,0.13,-0.01	0.57
gene:ENSG00000185838	0.00,0.05,-0.06,0.01	0.57
gene:ENSG00000100092	0.02,0.03,-0.13,0.01,0.08	0.57
gene:ENSG00000183579	0.00,-0.11,0.10	0.57
gene:ENSG00000100147	-0.02	0.57
gene:ENSG00000172346	0.08	0.56
gene:ENSG00000138942	-0.03,-0.09,0.06,0.07	0.56
gene:ENSG00000100099	0.06,-0.01,0.02,-0.01,-0.06,-0.13,0.13	0.56
gene:ENSG00000186654	0.08,0.06,-0.03,-0.11,-0.11,-0.03,0.06,0.04,0.02,0.00,0.01	0.56
gene:ENSG00000239282	-0.03,0.02,-0.05,0.01,0.04,0.02,-0.02	0.55
gene:ENSG00000205560	0.01,0.08,-0.03,-0.07,-0.10,0.07,0.04	0.54
gene:ENSG00000100330	-0.04,0.07,-0.04,0.07,-0.03,-0.03	0.54
gene:ENSG00000100196	0.17	0.54
gene:ENSG00000128165	0.16	0.53
gene:ENSG00000128245	-0.04,0.03,0.04,-0.03	0.53
gene:ENSG00000184076	-0.10	0.53
gene:ENSG00000184470	0.01,0.04,0.03,-0.01,-0.02,0.01,-0.02,-0.14,-0.03,0.01,0.06,0.05,0.01	0.52
gene:ENSG00000100154	0.03,-0.02,-0.03,0.01	0.52
gene:ENSG00000099956	-0.06,-0.01,-0.01,-0.01,-0.00,-0.00,-0.02,0.09,-0.01,0.05,-0.01,-0.00	0.51
gene:ENSG00000241973	0.07,0.05,-0.11	0.5
gene:ENSG00000100034	-0.11,-0.01,0.09,-0.02,0.05	0.5
gene:ENSG00000100226	-0.11,0.00,0.04,0.00,0.06,-0.01,0.01,0.01,0.01	0.5
gene:ENSG00000198951	-0.05,-0.03,0.07	0.49
gene:ENSG00000128342	-0.12	0.49
gene:ENSG00000100100	0.03,-0.03,0.00,-0.01	0.49
gene:ENSG00000159496	-0.01,-0.11,-0.01,0.10,0.03,0.01,-0.01	0.49
gene:ENSG00000100413	-0.05,-0.02,0.02,0.01,0.02,0.00,0.03	0.47
gene:ENSG00000184708	0.08,-0.01,-0.09,0.01,0.00,0.01,-0.00,-0.01,0.01	0.46
gene:ENSG00000128191	-0.03,0.08,-0.02,-0.03	0.45
gene:ENSG00000100416	-0.05,-0.04,-0.04,-0.05,-0.03,-0.01,-0.00,-0.01,0.01,0.07,0.09,0.09,-0.01	0.45
gene:ENSG00000100360	-0.01,0.10,-0.07,-0.07,0.04,0.01	0.45
gene:ENSG00000128185	0.12,-0.04,-0.07	0.45
gene:ENSG00000100056	-0.12	0.45
gene:ENSG00000070371	-0.03,-0.02,0.06,-0.04,0.03,0.02,0.01,-0.04	0.45
gene:ENSG00000100242	0.11,0.04,-0.03,-0.04,-0.04,0.03,-0.01,-0.01,-0.01,-0.02,-0.00,-0.01	0.45
gene:ENSG00000100225	-0.09,0.04,0.03,-0.02,0.04,-0.01	0.43
gene:ENSG00000100284	-0.00,-0.02,-0.00,0.02,0.09,-0.06,-0.13,-0.01,-0.01,0.03,0.05,0.03,-0.00,-0.00	0.43
gene:ENSG00000099995	0.10,-0.09,-0.01,0.00	0.43
gene:ENSG00000186575	0.04,-0.11,-0.00,0.04,-0.00,0.01,-0.01,0.01,0.06,-0.03,-0.00	0.43
gene:ENSG00000100116	-0.05,0.07,0.04,0.00,-0.07	0.42
gene:ENSG00000182541	-0.02,-0.10,0.07,0.07,-0.02	0.42
gene:ENSG00000100324	0.10	0.41
gene:ENSG00000196236	-0.08,0.00,0.08	0.4
gene:ENSG00000100300	-0.09,0.09,0.00,-0.04,0.04	0.38
gene:ENSG00000099910	-0.02,0.02,-0.01,0.07,0.01,-0.00,-0.06	0.38
gene:ENSG00000184792	0.00,0.01,0.02,0.03,0.03,-0.01,0.01,-0.11,0.04,-0.00,-0.04,-0.00,0.01,0.02,-0.00	0.37
gene:ENSG00000100106	0.00,0.01,-0.00,-0.01,-0.01,0.05,0.05,-0.03,-0.04,-0.02,0.01	0.36
gene:ENSG00000100209	-0.02,-0.02,0.06,-0.01	0.35
gene:ENSG00000100124	-0.03,0.02,-0.03,0.03,-0.02,-0.02,0.05,-0.00,0.00	0.34
gene:ENSG00000242259	0.02,0.01,0.06,-0.06,0.00,-0.04	0.33
gene:ENSG00000241360	0.06	0.33
gene:ENSG00000183172	0.08	0.32
gene:ENSG00000187051	-0.06	0.32
gene:ENSG00000100393	0.02,-0.01,-0.00	0.32
gene:ENSG00000242247	-0.07,0.02,0.05,-0.00,0.00	0.3
gene:ENSG00000183597	-0.00,0.02,-0.01,0.06,0.00,-0.07,-0.01,-0.02,-0.00,-0.01,0.01,-0.02,-0.04,0.06,0.03,-0.00	0.3
gene:ENSG00000128383	0.02,0.00,-0.02	0.3
gene:ENSG00000131100	-0.01,-0.05,0.07,-0.00	0.29
gene:ENSG00000128394	0.00	0.29
gene:ENSG00000244509	-0.01	0.28
gene:ENSG00000100297	-0.01,-0.00,-0.07,0.04,0.04	0.28
